GiftId,Latitude,Longitude,Weight
53,33.5769942561,-84.1039832023,28.4738708009
54,28.3156972635,91.4168053757,1.36699187497
55,-8.25094632739,-41.5742883485,1.0
56,1.84773190284,-64.8486712213,30.2569695732
57,50.6645301945,86.6545120863,25.353678265
58,31.6926827482,101.117371138,21.2005335377
59,-84.8554851227,-4.03151455516,42.8066466422
60,65.1571335885,-136.82175182,1.0
61,37.7192599208,80.2715347896,24.9604159647
62,6.9630645164,34.242819435,1.0
63,-30.8958017228,-70.4427228208,14.0014364242
64,54.2506583091,28.5363373158,16.164569548
65,29.0189070569,-110.281305729,8.83042544405
66,-8.03478827608,22.5955467,1.0
67,5.40386801893,34.3397861684,6.15145308359
68,32.4259621422,7.92752316492,2.31987181403
69,51.7373645647,-124.078637462,22.3771015996
70,63.7719425387,48.2711794087,1.0
71,-22.5786969578,-59.0080390403,1.0
72,-0.536792463134,-76.880521079,13.1842738776
73,11.5538434842,104.507355808,1.0
74,27.0940818716,32.9667391748,1.0
75,-17.6306035032,177.802073311,1.0
76,-85.145595536,-174.798821238,1.0
77,24.2013444606,76.1242636332,50.0
78,28.7717125999,10.5466679122,30.4433547085
79,33.813455865,-79.061933466,1.0
80,-83.0337459287,111.511626773,14.5602010109
81,-5.59307643706,-43.7906087904,9.3931206194
82,36.3728480874,118.536532222,1.0
83,39.3021550292,105.919693188,1.0
84,-15.6441099951,14.7886582539,4.08445553485
85,66.0620537687,168.107605098,11.3865771294
86,42.8661396693,110.435058434,32.103547243
87,53.3006694003,113.379905548,8.28641797617
88,47.3742845841,74.4564290807,42.4122961764
89,-23.2566830445,32.6180129708,1.0
90,-79.1711181313,50.6549433098,15.5439195488
91,20.2097532443,-74.5694747732,22.3861653061
92,71.6197557812,98.1538159595,7.65645488888
93,42.073819773,-84.829208348,10.2175498482
94,68.0724364769,99.438984934,25.1621773786
95,-8.53460336558,-63.5769279192,1.0
96,54.8107513024,25.790835783,23.5285297375
97,18.3165562521,32.7355847104,1.0
98,-0.0970903971052,-53.3617695073,7.15697779324
99,66.4473155127,160.304567119,12.0061999356
100,75.2856193469,-100.097826323,1.0
101,27.812137557,28.4016733537,21.1034364745
102,71.6803331503,77.8294593474,1.0
103,-79.5852912194,-8.87391206494,27.2705764232
104,-76.1829534475,-72.1306533316,17.4104858
105,3.26017797433,-63.2851041925,5.73027196235
106,26.1723022003,67.7135457898,1.0
107,-20.4181932499,144.530504405,1.0
108,-71.6911250198,78.300602795,1.0
109,-11.8921772229,-76.7741459864,19.5851090289
110,65.6886560133,46.783609893,1.0
111,38.241103594,95.7180043819,1.0
112,65.9360266639,66.2706598276,1.0
113,71.0769377155,132.07489334,1.0
114,18.4129344325,-71.2747510648,27.1708501469
115,67.4172275737,-42.9346420552,1.0
116,-14.9291104546,-56.5596934952,1.0
117,52.2621618245,130.425187977,2.89659683475
118,39.6737381384,51.7657841391,50.0
119,26.7708616133,49.3677081283,1.0
120,12.148237209,-12.3930220494,20.3030440499
121,-14.3063467551,33.9459097878,44.5866336299
122,42.2479516127,-77.1489895891,40.898537617
123,60.6532768853,-160.593866885,28.7264768706
124,33.6765214879,-6.24568251808,16.28710467
125,71.7594711584,-28.6135493857,9.89227798067
126,33.718955527,84.6667041957,1.0
127,17.1665178397,19.6957122431,14.8425269586
128,44.1370504357,64.1250487302,1.0
129,72.4628954615,127.535264103,1.0
130,42.7594896803,100.344814457,28.9161533451
131,63.885076523,-129.909124448,1.0
132,-17.713913374,-51.9768389159,44.0009259069
133,-33.1207893788,-66.0422305768,2.80385769755
134,43.389280965,-114.509944936,1.0
135,60.962419423,145.858598782,14.9809209699
136,68.2068564665,162.418360381,28.2577980235
137,-69.6419035702,29.5326811633,8.01843691223
138,42.7406846616,-123.001692953,1.0
139,-36.7974296117,-72.3653087582,1.26904045899
140,15.4370609796,-8.4006709937,1.0
141,45.1572230457,8.52036284919,12.3398264949
142,15.8001489711,100.710210023,1.0
143,53.4298764734,-66.8702269794,1.0
144,54.3125063114,66.2435876638,1.0
145,25.5937798511,8.09779743324,4.59831641759
146,46.3526681506,-84.43934701,29.0937892589
147,56.5315903859,-3.80915753887,1.51669242263
148,44.0686969749,80.1378469761,18.0100719564
149,4.46565772452,25.120441002,1.0
150,-84.2667157734,78.2354410345,2.59290360653
151,-17.8909981229,29.8679193469,20.7246354837
152,40.3191028448,49.0533740564,50.0
153,-81.6596814148,-138.075735689,1.0
154,36.4672379307,98.9530453963,5.25488678125
155,14.9199003795,22.5535998484,50.0
156,-15.8538893825,144.659110794,19.2723396664
157,-18.836198275,144.302959191,50.0
158,27.5590526774,99.6351679222,1.0
159,43.0494535012,47.9625290698,18.7393157749
160,51.8480067941,15.9276825214,1.77205302881
161,59.6300669251,94.7669553823,17.6725208177
162,14.7931063578,-86.0103541477,2.94854248787
163,23.5072101012,9.08323239649,5.06292565816
164,17.3501724507,-93.0725294295,1.0
165,30.0909450006,55.7371744569,32.3494865308
166,53.3262997368,-110.969481457,1.0
167,27.7571096434,103.911911221,50.0
168,-87.558063521,59.0760975965,22.6794613846
169,78.1950171919,-81.5759573775,1.0
170,-19.4694359819,13.3822836451,34.1538434234
171,41.3206361791,98.6164503161,1.0
172,-11.2153088391,32.0657546529,1.0
173,22.3113416592,-13.4912621895,12.2419288733
174,33.2007024829,3.19554935239,4.62280705244
175,66.5150147322,-175.418055325,2.17827797649
176,16.7696731517,-98.9436684639,31.2073690829
177,53.9553156569,117.605248233,18.2998360035
178,-10.6514539814,-65.320943193,9.12750990188
179,21.5288013127,8.54289713819,40.3337865149
180,66.7054075188,-49.9318316035,1.0
181,35.3463867587,68.7413670113,7.37712763218
182,-6.01886602695,-41.4609033675,2.53097526693
183,-70.584554304,17.4020692829,29.6839991572
184,20.4132083918,74.8349249464,36.334506409
185,-8.72623276439,116.818826,15.9145452248
186,24.0097333894,34.0978932297,1.0
187,27.2655053584,-109.914979359,1.0
188,69.1751987992,147.891560461,18.3723389746
189,60.485220084,30.8406933624,1.0
190,49.6310678011,31.116441405,1.0
191,-37.5646264763,-70.6388093342,5.75554826594
192,-27.6068988181,-63.9428186904,10.4124058541
193,51.0629055493,37.1944415503,1.1522644635
194,38.150441738,96.0500031145,9.19113675774
195,-6.69738583931,35.5034626172,19.502171859
196,50.973368438,63.2555692111,15.687929904
197,30.3443049524,-103.657698235,1.0
198,70.67834572,153.56996049,19.1327871195
199,58.6851322063,-156.61437016,1.0
200,47.2142272732,-82.5527692208,1.0
